id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0448,10102-43-9,,1 ppm = 1.23 mg/m<sup>3</sup>,100 ppm,: TWA 25 ppm (30 mg/m<sup>3</sup>)                  : TWA 25 ppm (30 mg/m<sup>3</sup>),30.0,-241°F,-263°F,5%,34.2 atm,9.27 eV,,NA,NA,NA,1.04,,"Nonflammable Gas, but will accelerate the burning of combustible materials.",inhalation,"irritation eyes, wet skin, nose, throat; drowsiness, unconsciousness; methemoglobinemia","Eyes, skin, respiratory system, blood, central nervous system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Breathing:</strong> Respiratory support
0449,100-01-6,,,300 mg/m<sup>3</sup>,: TWA 3 mg/m<sup>3</sup> [skin]                  : TWA 6 mg/m<sup>3</sup> (1 ppm) [skin],138.1,630°F,295°F,0.08%,0.00002 mmHg,8.85 eV,1.42,390°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation nose, throat; cyanosis, ataxia; tachycardia, tachypnea; dyspnea (breathing difficulty); irritability; vomiting, diarrhea; convulsions; resp arrest; anemia; methemoglobinemia; jaundice","respiratory system, blood, heart, liver",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0450,98-95-3,,1 ppm = 5.04 mg/m<sup>3</sup>,200 ppm,: TWA 1 ppm (5 mg/m<sup>3</sup>) [skin]                  : TWA 1 ppm (5 mg/m<sup>3</sup>) [skin],123.1,411°F,42°F,0.2%,VP(77°F): 0.3 mmHg,9.92 eV,1.20,190°F,?,LEL(200°F): 1.8%,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; anoxia; dermatitis; anemia; methemoglobinemia; in animals: liver, kidney damage; testicular effects","Eyes, skin, blood, liver, kidneys, cardiovascular system, reproductive system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0451,92-93-3,,,Ca [N.D.],: Ca,199.2,644°F,237°F,Insoluble,?,?,?,290°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","headache, drowsiness, dizziness; dyspnea (breathing difficulty); ataxia, lassitude (weakness, exhaustion); methemoglobinemia; urinary burning; acute hemorrhagic cystitis; [potential occupational carcinogen]","Bladder, blood","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0452,100-00-5,,,Ca [100 mg/m<sup>3</sup>],: Ca  [skin]                  : TWA 1 mg/m<sup>3</sup> [skin],157.6,468°F,182°F,Slight,VP(86°F): 0.2 mmHg,9.96 eV,1.52,261°F,?,?,,,"Solid that does not burn, or burns with difficulty.","inhalation, skin absorption, ingestion, skin and/or eye contact","Anoxia; unpleasant taste; anemia; methemoglobinemia; in animals: hematuria (blood in the urine); spleen, kidney, bone marrow changes; reproductive effects; [potential occupational carcinogen]","Blood, liver, kidneys, cardiovascular system, spleen, bone marrow, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0453,79-24-3,,1 ppm = 3.07 mg/m<sup>3</sup>,1000 ppm,: TWA 100 ppm (310 mg/m<sup>3</sup>)                  : TWA 100 ppm (310 mg/m<sup>3</sup>),75.1,237°F,-130°F,5%,VP(77°F): 21 mmHg,10.88 eV,1.05,82°F,?,3.4%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","dermatitis; in animals: lacrimation (discharge of tears); dyspnea (breathing difficulty), pulmonary rales, edema; liver, kidney injury; narcosis","Skin, respiratory system, central nervous system, kidneys, liver",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0454,10102-44-0,,1 ppm = 1.88 mg/m<sup>3</sup>,20 ppm,: ST 1 ppm (1.8 mg/m<sup>3</sup>)                  : C 5 ppm (9 mg/m<sup>3</sup>),46.0,70°F,15°F,Reacts,720 mmHg,9.75 eV,1.44 (Liquid at 68°F),NA,NA,NA,2.62,,"Noncombustible Liquid/Gas, but will accelerate the burning of combustible materials.","inhalation, ingestion, skin and/or eye contact","irritation eyes, nose, throat; cough, mucoid frothy sputum, decreased pulmonary function, chronic bronchitis, dyspnea (breathing difficulty); chest pain; pulmonary edema, cyanosis, tachypnea, tachycardia","Eyes, respiratory system, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0455,7783-54-2,,1 ppm = 2.90 mg/m<sup>3</sup>,1000 ppm,: TWA 10 ppm (29 mg/m<sup>3</sup>)                  : TWA 10 ppm (29 mg/m<sup>3</sup>),71.0,-200°F,-340°F,Slight,&gt;1 atm,12.97 eV,,NA,NA,NA,2.46,,Nonflammable Gas,inhalation,"In animals: anoxia, cyanosis; methemoglobinemia; lassitude (weakness, exhaustion), dizziness, headache; liver, kidney injury","Blood, liver, kidneys",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Breathing:</strong> Respiratory support
0456,55-63-0,,1 ppm = 9.29 mg/m<sup>3</sup>,75 mg/m<sup>3</sup>,: ST 0.1 mg/m<sup>3</sup> [skin]                  : C 0.2 ppm (2 mg/m<sup>3</sup>) [skin],227.1,Begins to decompose at 122-140°F,56°F,0.1%,0.0003 mmHg,?,1.60,Explodes,?,?,,,Explosive Liquid,"inhalation, skin absorption, ingestion, skin and/or eye contact","throbbing headache; dizziness; nausea, vomiting, abdominal pain; hypotension; flush; palpitations; methemoglobinemia; delirium, central nervous system depression; angina; skin irritation","cardiovascular system, blood, skin, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0457,75-52-5,,1 ppm = 2.50 mg/m<sup>3</sup>,750 ppm,: : TWA 100 ppm (250 mg/m<sup>3</sup>),61.0,214°F,-20°F,10%,28 mmHg,11.08 eV,1.14,95°F,?,7.3%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","dermatitis; in animals: irritation eyes, respiratory system; convulsions, narcosis; liver damage","Eyes, skin, central nervous system, liver",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0458,581-89-5,,,Ca [N.D.],: Ca*  [*Note: Since metabolized to β-Naphthylamine.]                  : none,178.2,?,174°F,Insoluble,?,8.67 eV,?,?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation skin, respiratory system; dermatitis; [potential occupational carcinogen]","Skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0459,108-03-2,,1 ppm = 3.64 mg/m<sup>3</sup>,1000 ppm,: TWA 25 ppm (90 mg/m<sup>3</sup>)                  : TWA 25 ppm (90 mg/m<sup>3</sup>),89.1,269°F,-162°F,1%,8 mmHg,10.81 eV,1.00,96°F,?,2.2%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes; headache, nausea, vomiting, diarrhea; in animals: liver, kidney damage","Eyes, central nervous system, liver, kidneys",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0460,79-46-9,,1 ppm = 3.64 mg/m<sup>3</sup>,Ca [100 ppm],: Ca : TWA 25 ppm (90 mg/m<sup>3</sup>),89.1,249°F,-135°F,2%,13 mmHg,10.71 eV,0.99,75°F,11.0%,2.6%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, respiratory system; headache, anorexia, nausea, vomiting, diarrhea; kidney, liver damage; [potential occupational carcinogen]","Eyes, skin, respiratory system, central nervous system, kidneys, liver",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0461,62-75-9,,,Ca [N.D.],: Ca,74.1,306°F,?,Soluble,3 mmHg,8.69 eV,1.005,?,?,?,,,Combustible Liquid,"inhalation, skin absorption, ingestion, skin and/or eye contact","nausea, vomiting, diarrhea, abdominal cramps; headache; fever; enlarged liver, jaundice; decreased liver, kidney, pulmonary function; [potential occupational carcinogen]","Liver, kidneys,lungs","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0462,88-72-2,,1 ppm = 5.61 mg/m<sup>3</sup>,200 ppm,: TWA 2 ppm (11 mg/m<sup>3</sup>) [skin]                  : TWA 5 ppm (30 mg/m<sup>3</sup>) [skin],137.1,432°F,25°F,0.07%,0.1 mmHg,9.43 eV,1.16,223°F,?,2.2%,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","Anoxia, cyanosis; headache, lassitude (weakness, exhaustion), dizziness; ataxia; dyspnea (breathing difficulty); tachycardia; nausea, vomiting","Blood, central nervous system, cardiovascular system, skin, gastrointestinal tract",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
